7,"['obv_ema' 'obv' '14day_std' 'fear_greed' '60day_return' 'quarter' 'month'
 'macd' 'timestamp' '30day_return' 'price_rate_of_change'
 'stochastic_oscillator' 'volume' 'roc' '14day_ema' 'vix' '15day_return'
 'atr' 'williams_r' '7day_sma' '7day_std' 'cci' '7day_sma+2std' 'low'
 'high_close_diff' 'close' '7day_sma-2std' '14day_sma' 'high' 'open'
 '5day_return']",0.0013143024019276102,0.7946518294020182,0.023500107169170125,0.0010959669091976454,0.033105390938601605,0.06482709469982378
Index,Features Used,Model Performance,Correlation Coefficient,Mean Absolute Error,Mean Squared Error,Root Mean Squared Error,95% Confidence Interval
8,"['obv_ema' 'timestamp' '60day_return' 'month' 'fear_greed' 'quarter'
 'macd' '14day_std' 'obv' '30day_return' '7day_sma-2std' 'williams_r'
 'stochastic_oscillator' '15day_return' '7day_sma+2std'
 'price_rate_of_change' 'high' '7day_std' 'roc' 'vix' '7day_sma'
 '14day_ema' 'atr' 'volume' '14day_sma' 'cci' 'high_close_diff' 'close'
 'low' 'open']",0.001297917605067293,0.7932932508168504,0.024968249953355743,0.0011306892196776253,0.0336257225896727,0.06502357821366571
Index,Features Used,Model Performance,Correlation Coefficient,Mean Absolute Error,Mean Squared Error,Root Mean Squared Error,95% Confidence Interval
9,"['obv_ema' '60day_return' 'timestamp' 'macd' 'fear_greed' 'obv'
 'stochastic_oscillator' '14day_std' 'quarter' '7day_sma-2std'
 '30day_return' 'month' 'vix' 'price_rate_of_change' '14day_sma' 'volume'
 '15day_return' 'williams_r' 'cci' '7day_std' 'high_close_diff'
 '14day_ema' 'roc' 'atr' '7day_sma' 'low' 'high' '7day_sma+2std' 'close']",0.0013924196440105636,0.7803483507527226,0.02495232367296578,0.0011950415367489274,0.03456937281393643,0.06681962951518129
Index,Features Used,Model Performance,Correlation Coefficient,Mean Absolute Error,Mean Squared Error,Root Mean Squared Error,95% Confidence Interval
10,"['obv_ema' '60day_return' 'fear_greed' 'macd' 'timestamp' 'month'
 'quarter' 'obv' 'vix' '30day_return' '14day_std' 'atr' '14day_ema'
 'stochastic_oscillator' '7day_sma' '7day_sma-2std' 'volume' '7day_std'
 'price_rate_of_change' 'williams_r' 'roc' '15day_return' 'cci' 'high'
 'low' 'high_close_diff' '7day_sma+2std' '14day_sma']",0.0012839925475418568,0.8163649532972047,0.022578791194530358,0.0009902263204364687,0.03146786170740663,0.06167700332002323
Index,Features Used,Model Performance,Correlation Coefficient,Mean Absolute Error,Mean Squared Error,Root Mean Squared Error,95% Confidence Interval
11,"['obv_ema' 'obv' '60day_return' 'timestamp' 'fear_greed' 'macd'
 '14day_std' 'month' 'quarter' '30day_return' '7day_sma-2std' 'low'
 'stochastic_oscillator' 'vix' 'roc' 'volume' '14day_ema'
 'price_rate_of_change' 'cci' '15day_return' '7day_std' '7day_sma+2std'
 'williams_r' 'high_close_diff' 'atr' 'high' '7day_sma']",0.0013718648503224056,0.7733991354091511,0.024461304737789742,0.0012036218485211563,0.034693253645646384,0.06788568577824745
Index,Features Used,Model Performance,Correlation Coefficient,Mean Absolute Error,Mean Squared Error,Root Mean Squared Error,95% Confidence Interval
