7,"['stochastic_oscillator' '60day_return' '7day_sma-2std' 'quarter'
 'fear_greed' 'timestamp' '14day_std' 'macd' '7day_sma' 'month' 'vix'
 'bollinger_bands' 'obv_ema' 'low' 'close' 'atr' '30day_return' 'obv'
 '14day_ema' 'volume' 'roc' 'price_rate_of_change' '15day_return'
 '14day_sma-2std' '7day_sma+2std' 'high_close_diff' 'williams_r' 'open'
 '14day_sma+2std' '7day_std' 'high']",0.0016910783403242629,0.7301889623185687,0.029717497807954525,0.0014457516355181584,0.03802304085049167,0.07432634967813322
Index,Features Used,Model Performance,Correlation Coefficient,Mean Absolute Error,Mean Squared Error,Root Mean Squared Error,95% Confidence Interval
8,"['60day_return' 'obv' 'timestamp' 'macd' 'fear_greed' 'vix' 'quarter'
 '30day_return' '7day_sma-2std' 'stochastic_oscillator' 'obv_ema'
 '14day_std' '7day_sma+2std' 'bollinger_bands' 'volume' 'williams_r'
 'price_rate_of_change' '15day_return' 'month' 'close' 'atr' '7day_std'
 'low' '14day_sma+2std' 'roc' '7day_sma' 'high_close_diff'
 '14day_sma-2std' '14day_ema' 'open']",0.0017016752778242032,0.7387391989346479,0.02880413613518323,0.0013733634316639275,0.037058918382272404,0.07229805911121773
Index,Features Used,Model Performance,Correlation Coefficient,Mean Absolute Error,Mean Squared Error,Root Mean Squared Error,95% Confidence Interval
9,"['macd' 'vix' '60day_return' 'obv_ema' 'fear_greed' 'timestamp' 'month'
 'stochastic_oscillator' '14day_std' 'quarter' '14day_sma-2std'
 '30day_return' 'price_rate_of_change' 'high_close_diff' '7day_sma'
 '15day_return' 'roc' 'atr' '7day_sma+2std' 'obv' '7day_std' 'volume'
 'bollinger_bands' '14day_ema' '14day_sma+2std' 'low' 'close' 'williams_r'
 '7day_sma-2std']",0.0016312992665916681,0.7314175484305631,0.029132081682344164,0.0014341586230150432,0.037870286809252494,0.07286731050430842
Index,Features Used,Model Performance,Correlation Coefficient,Mean Absolute Error,Mean Squared Error,Root Mean Squared Error,95% Confidence Interval
10,"['quarter' '60day_return' 'vix' 'month' '14day_std' 'macd' 'obv_ema'
 'fear_greed' 'williams_r' 'timestamp' '14day_sma-2std' 'volume'
 '7day_sma+2std' '15day_return' '14day_sma+2std' 'stochastic_oscillator'
 'roc' '30day_return' 'atr' 'high_close_diff' 'price_rate_of_change' 'obv'
 'bollinger_bands' '14day_ema' 'low' 'close' '7day_sma' '7day_std']",0.0016610041493549943,0.6985422829736354,0.028781493722499295,0.0015442247916330177,0.03929662570288978,0.07641249241381393
Index,Features Used,Model Performance,Correlation Coefficient,Mean Absolute Error,Mean Squared Error,Root Mean Squared Error,95% Confidence Interval
11,"['macd' '14day_std' '60day_return' 'quarter' 'obv' 'fear_greed'
 'timestamp' 'obv_ema' 'month' 'stochastic_oscillator' '30day_return'
 'vix' '14day_ema' 'roc' 'williams_r' 'volume' '15day_return'
 'price_rate_of_change' '7day_sma' '14day_sma-2std' 'high_close_diff'
 'low' 'atr' 'close' 'bollinger_bands' '7day_sma+2std' '14day_sma+2std']",0.001666780988064905,0.7176418902714292,0.02927998308283941,0.0014583882396055424,0.03818884967638515,0.07483980276308226
Index,Features Used,Model Performance,Correlation Coefficient,Mean Absolute Error,Mean Squared Error,Root Mean Squared Error,95% Confidence Interval
12,"['quarter' 'month' 'macd' '14day_std' '60day_return' 'bollinger_bands'
 'stochastic_oscillator' '30day_return' 'fear_greed' 'vix' 'obv_ema' 'obv'
 'timestamp' 'volume' 'low' 'williams_r' 'atr' '15day_return'
 'price_rate_of_change' 'high_close_diff' '7day_sma+2std' 'close'
 '14day_sma-2std' '7day_sma' 'roc' '14day_ema']",0.0015598054742440581,0.7665457845901723,0.028009943593731535,0.0012611267097150185,0.03551234587738493,0.06906317587857913
Index,Features Used,Model Performance,Correlation Coefficient,Mean Absolute Error,Mean Squared Error,Root Mean Squared Error,95% Confidence Interval
13,"['60day_return' 'obv_ema' 'fear_greed' 'timestamp' 'month' 'macd'
 'quarter' '30day_return' '14day_std' 'vix' 'stochastic_oscillator' 'obv'
 'roc' 'price_rate_of_change' '7day_sma' '14day_sma-2std' 'volume'
 '7day_sma+2std' 'low' 'bollinger_bands' 'high_close_diff' 'atr'
 'williams_r' '15day_return' 'close']",0.0017098768924673398,0.7269460351927599,0.029485127721237875,0.0014265540694252594,0.03776975071966003,0.07396507063744526
Index,Features Used,Model Performance,Correlation Coefficient,Mean Absolute Error,Mean Squared Error,Root Mean Squared Error,95% Confidence Interval
